"Metabolite","Penalized_coeff","Beta","SE","P","P_fdr"
"LPC 17:0/0:0",-0.000605562280383299,-0.00181393181257389,0.00972202886247202,0.851998599676875,0.91648758979844
"TG 54:3",-0.000650886708653281,-0.0316742591251155,0.00934994169224663,0.00071091524661183,0.0277256946178614
NA,-0.000779390308864452,0.00556592545677008,0.00968318212546621,0.565452392964122,0.787594404485741
NA,-0.00041021918849865,0.00185817455201492,0.00981428411355093,0.849839765392545,0.91648758979844
NA,-0.000608931640324762,-0.000509822712472711,0.00880530198859221,0.953831233136246,0.988186729605709
NA,-0.000665606668256966,-0.0151283422885474,0.00888066949142742,0.0885400761851611,0.383673663469031
NA,-0.000589002249342568,0.0035803591966906,0.00899078762696292,0.690482928706218,0.872813595658265
NA,-3.72761675115134e-05,-0.0149772672249859,0.0095768331165916,0.117908614642845,0.455951431424829
NA,-0.000947522459172763,-0.00865942517460601,0.008870333479705,0.329005949887631,0.658011899775263
NA,-0.000870251662271199,0.00323705981927091,0.00935591337252678,0.72936557042979,0.875238684515748
NA,-0.00132819370156997,0.00112209168104886,0.00937197603417575,0.904703583752984,0.953606480172064
NA,-0.000940906789180762,0.00419519718686304,0.00914252575580427,0.646352116187086,0.854499407840554
NA,-0.000663311659967352,0.00806823294770394,0.00964500551327312,0.402906596958444,0.683189447016491
NA,-0.00050236922640293,0.00807824447510885,0.00964612235407555,0.40237776983183,0.683189447016491
NA,-0.00114131377174362,-0.0222141099038753,0.00962751802363952,0.0210796214772087,0.207153119533996
NA,-0.00193874560540157,-0.0114323959007627,0.00878490635441002,0.193198418156963,0.535242321286265
NA,-0.00143993339828459,0.00170542320524034,0.00951347674173028,0.857738385324181,0.91648758979844
NA,-0.00152324570335081,-0.00346283712436498,0.00889620490175803,0.69711032555268,0.872813595658265
NA,-0.00136539382933866,-0.0107756066957014,0.00931404351558831,0.247365275029127,0.606705817112439
NA,-0.00110784060032561,-0.00564207671387865,0.00941489627906634,0.54902176166342,0.783275863272582
NA,-0.00137879948462211,-0.0182230597149267,0.0089723139775334,0.0423097097006616,0.330015735665161
NA,-0.000240197803887194,-0.0131596059931756,0.00923953903246497,0.154436221269736,0.508789174091248
NA,-0.00021390552679245,-0.00274491599051193,0.00912173567384007,0.76348898817301,0.885695276714987
NA,-0.00155959117855764,-0.016822608768592,0.00976050736153469,0.084859259479113,0.383673663469031
NA,-0.00132496836171482,-0.00952669016988746,0.00930231513702049,0.305832582277697,0.636156098886059
NA,-0.00142662861203809,-0.0153533193578301,0.00854130948126391,0.0723170524085757,0.383673663469031
NA,-0.00178246127378502,-0.0120702220221881,0.00933126556556158,0.195894908936645,0.535242321286265
NA,-0.00158262300299508,-0.0237281551425612,0.00918649680117634,0.00982704254944192,0.170974142819381
NA,-0.00130077908923136,-0.00886956960467873,0.00929710712485603,0.340126862431495,0.663247381741416
NA,-0.000588618236302407,0.00690680113313235,0.00948691639779107,0.466630009824344,0.73041062844583
NA,-0.000406946983408618,0.000288466958459942,0.00939921011366454,0.975517668969738,0.988186729605709
NA,-1.40690993681161e-05,-0.00536221174026885,0.00972751067625123,0.581495493598285,0.795730675450285
NA,-0.00196400794187277,-0.00964630012645452,0.00949909065642472,0.309922202021413,0.636156098886059
NA,0.0489674921427115,3.57161457006093e-05,0.00975385566074898,0.997078516491023,0.997078516491023
NA,-0.000237146647564639,-0.00727348217174648,0.00975064461577857,0.455736790696451,0.73041062844583
NA,-0.000217322616127145,-0.0121256018642654,0.00855720749640379,0.156550515104999,0.508789174091248
NA,-0.00152368510723799,-0.0088863222717377,0.0096107481002386,0.355211096790473,0.675767452430657
NA,-0.00166824409804561,-0.0135095253288934,0.00975737722357921,0.166259099928852,0.514509111501696
NA,-0.00178391089816536,-0.0224240199236118,0.00955474121741695,0.0189727297529587,0.207153119533996
NA,-0.000419998436753432,-0.0161998442434385,0.00931767468414356,0.0821695895773247,0.383673663469031
NA,-0.0018165282064211,-0.0185292501750459,0.00978876807754068,0.0584327352004774,0.371350347641439
NA,-0.00222048196775695,-0.0156344909160734,0.00904559905372133,0.0839834656806622,0.383673663469031
NA,-0.000305071273506019,-0.00349906188929774,0.0092408601433364,0.704964827262445,0.872813595658265
NA,-0.00109746029595332,-0.00588577017025338,0.009803460129515,0.548285102261698,0.783275863272582
NA,-0.00057854476100036,-0.000344605645742509,0.0088408363690109,0.968908952659746,0.988186729605709
NA,-0.000951515078655999,-0.0114895205440612,0.00894409998895585,0.199000350221817,0.535242321286265
NA,-0.000648080087859425,-0.0130276982877913,0.00870323800626336,0.134494384390222,0.476843726474422
NA,-0.00052454521555303,0.00946831813639588,0.00927213595965391,0.307233949728973,0.636156098886059
NA,-0.00119760874316817,-0.0137460093503581,0.00859344616322716,0.109759103806298,0.450590005099537
NA,-0.000349069747716323,-0.00694186737225383,0.00885419503070294,0.433069596616967,0.718711245449435
NA,-0.000448734746529557,-0.00835172306553159,0.00922958012186658,0.365573677695623,0.678922544291872
NA,-0.000202172994758331,-0.00238616260881931,0.00841630578181436,0.776793906443831,0.885695276714987
NA,-0.000122129055205456,-0.0056284538381468,0.00876351912643065,0.520737494007426,0.781106241011139
NA,-0.00172462756957152,-0.00222449019573395,0.00935549193515323,0.812067349163608,0.904875046210878
NA,0.0589640144718688,-0.00343883777304148,0.00954240361373054,0.718583938235464,0.875238684515748
NA,-0.00127865370291142,-0.0083162298518395,0.00965465845125576,0.389079777658478,0.683189447016491
NA,-0.00134446124614129,-0.00276797527123274,0.00934707271374464,0.767142045162831,0.885695276714987
NA,-0.000119734254267276,-0.00568112220304685,0.00955860620247487,0.552309903589641,0.783275863272582
NA,-0.000811031644557836,-0.0110501232579187,0.00967048262057677,0.253238214158512,0.606705817112439
NA,-0.00134487544096872,-0.00377260007063443,0.00908701859995353,0.678041609929059,0.872813595658265
NA,-0.000322325667600949,-0.0100500478337378,0.00928090049417767,0.278921409826149,0.621596284755419
NA,-0.00102855183413576,-0.00439784445355938,0.00899696805353394,0.62499674771587,0.840512867617894
NA,-0.000485699808307828,-0.0105034662357388,0.00925898936262548,0.256683230316801,0.606705817112439
NA,-0.000686036529721795,-0.00631213316298164,0.00935463183447972,0.499862148184588,0.764495050164664
NA,-0.00120678164353211,-0.0124232126340305,0.00908390818759664,0.171503037167232,0.514509111501696
NA,-0.000251900938898221,-0.01759351914752,0.00931072956570144,0.0588750372974707,0.371350347641439
NA,-0.00130593375159291,-0.0074628679455371,0.00857980424966671,0.384445728941098,0.683189447016491
NA,-0.00114915610326715,-0.0174464135018128,0.00934197469813837,0.0618917246069065,0.371350347641439
